timestamp,url,author,date,description,image,title,lang,logo,twitter,rss
1609037481682,https%3A%2F%2Fnicolasbouliane.com%2Fblog%2Ftrading-time-for-money,Nicolas%20Bouliane,2020-12-24T23%3A21%3A51.000Z,Test,https%3A%2F%2Fnicolasbouliane.com%2Fimages%2F_fullWidth2x%2Fgood-time.jpg,Trading%20time%20for%20money,en,,,
1609042033535,https%3A%2F%2Fgithub.com%2Ffranky47%2Fgitrows-test,franky47,2020-12-24T23%3A21%3A51.000Z,%22Contribute%2C%20to%20franky47%2Fgitrows-test%20development%20by%20creating%20an%20account%20on%20GitHub.%22,https%3A%2F%2Favatars2.githubusercontent.com%2Fu%2F1174092%3Fs%3D400%26v%3D4,franky47%2Fgitrows-test,en,,,
1609047679070,https%3A%2F%2Ffrancoisbest.com%2Fposts%2F2020%2Fthe-security-of-github-actions,Fran%C3%83%C2%A7ois%20Best,2020-02-24T00%3A00%3A00.000Z,GitHub%20Actions%20are%20a%20great%20way%20to%20build%20powerful%20customised%20CI%2FCD%20workflows%20using%20the%20power%20of%20community-driven%20resources%2C%20but%20they%20can%20be%20tricky%20to%20get%20right%20in%20terms%20of%20security.,https%3A%2F%2Ffrancoisbest.com%2Fimages%2Fposts%2F2020%2Fthe-security-of-github-actions%2Fog.jpg,The%20Security%20of%20GitHub%20Actions,en,,,https%3A%2F%2Ffrancoisbest.com%2Fposts%2Ffeed%2Frss.xml
1609047819826,https%3A%2F%2Fgithub.com%2FFortySevenEffects%2Farduino_midi_library,FortySevenEffects,2020-12-09T11%3A00%3A00.000Z,MIDI%20for%20Arduino%2C%20Contribute%20to%20FortySevenEffects%2Farduino_midi_library%20development%20by%20creating%20an%20account%20on%20GitHub.,https%3A%2F%2Frepository-images.githubusercontent.com%2F4409634%2F07460980-3a2a-11eb-80dd-60168f07126b,FortySevenEffects%2Farduino_midi_library,en,,,
1609047918950,https%3A%2F%2Fdeveloper.mozilla.org%2Fen-US%2Fdocs%2FWeb%2FAPI%2FWindow%2FscrollTo,,2020-12-18T10%3A05%3A08.000Z,Window.scrollTo()%20scrolls%20to%20a%20particular%20set%20of%20coordinates%20in%20the%20document.,,Window.scrollTo()%20-%20Web%20APIs%20%7C%20MDN,en,,,
1609047952489,https%3A%2F%2Fromain-clement.net,Romain%20Clement,2020-06-08T00%3A00%3A00.000Z,When%20hosting%20applications%20using%20modern%20CDNs%20and%20PaaS%20platforms%20such%20as%20Vercel%20and%20Heroku%2C%20configuring%20Cloudflare%20as%20the%20protecting%20proxy%20in%20front%20of%20those%20services%20can%20be%20challenging.%20After%20some%20research%2C%20I%20managed%20to%20find%20a%20permanent%20solution.,https%3A%2F%2Fromain-clement.net%2F_nuxt%2Ficons%2Ficon_512x512.5302c1.png,Cloudflare%20setup%20for%20CDN%20and%20PaaS%20platforms,en,,,
1609049881142,https%3A%2F%2Ffrancoisbest.com,Fran%C3%A7ois%20Best,,Freelance%20web%20developer%2C%20open-sourcerer%2C%20writer.,https%3A%2F%2Ffrancoisbest.com%2Fimages%2Fog.jpg,Fran%C3%A7ois%20Best,en,,,https%3A%2F%2Ffrancoisbest.com%2Fposts%2Ffeed%2Frss.xml
1609161400151,https%3A%2F%2Fgithub.com%2Ffranky47%2Fgitrows-test%2Fblob%2Fmaster%2Freading-list.csv,franky47,2020-12-27T11%3A00%3A00.000Z,Contribute%20to%20franky47%2Fgitrows-test%20development%20by%20creating%20an%20account%20on%20GitHub.,https%3A%2F%2Favatars2.githubusercontent.com%2Fu%2F1174092%3Fs%3D400%26v%3D4,franky47%2Fgitrows-test,en,,,
1609161483642,https%3A%2F%2Fgithub.com%2Ffranky47%2Fgitrows-test%2Fblob%2Fmaster%2Freading-list.csv,franky47,2020-12-24T23%3A21%3A51.000Z,Contribute%20to%20franky47%2Fgitrows-test%20development%20by%20creating%20an%20account%20on%20GitHub.,https%3A%2F%2Favatars2.githubusercontent.com%2Fu%2F1174092%3Fs%3D400%26v%3D4,franky47%2Fgitrows-test,en,,,
1609237991124,https%3A%2F%2Ffrancoisbest.com,Tom%20Hirst,,I%20realised%20control%20over%20my%20time%20the%20day%20I%20graduated%20from%20University%20in%20Sheffield%2C%20UK%2C%202009.%20Or%20so%20I%20thought.%20%E2%80%9CI%20can%E2%80%99t%20work%20for%20a%20boss%E2%80%9D%20was%20my%20only%20criterion%E2%80%A6,https%3A%2F%2Fwww.tomhirst.com%2Fstatic%2F62f5a1f0097a90f3f71dfb3668aa4a31%2Faf144%2Fbetting-with-time.png,Betting%20With%20Time,en,,,https%3A%2F%2Ffrancoisbest.com%2Fposts%2Ffeed%2Frss.xml
1609444104349,https%3A%2F%2Fpreview.francoisbest.com%2Fposts%2F2020%2Fmobile-device-frames-for-excalidraw,Fran%C3%A7ois%20Best,2020-06-11T00%3A00%3A00.000Z,Building%20mobile%20UI%20mockups%20in%20Excalidraw%20is%20a%20lot%20of%20fun%2C%20but%20eye-balling%20screen%20ratios%20is%20not%20great.%20Here%20are%20some%20free%20resources%20to%20help%20you%20get%20started%2C%20and%20a%20guide%20on%20how%20to%20make%20your%20own%20frames.,https%3A%2F%2Fpreview.francoisbest.com%2Fimages%2Fposts%2F2020%2Fmobile-device-frames-for-excalidraw%2Fog.jpg,Mobile%20Device%20Frames%20For%20Excalidraw,,,,https%3A%2F%2Fpreview.francoisbest.com%2Fposts%2Ffeed%2Frss.xml
